Date : 2020-07-25 23:24:16
Directory : /home/raphael/Projects/dopamine
Total : 165 files,  20366 codes, 521 comments, 1094 blanks, all 21981 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/raphael/Projects/dopamine/src/app/services/indexing/indexable-path.ts                                       | TypeScript   |          4 |          0 |          1 |          5 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/indexing.service.ts                                     | TypeScript   |         29 |          0 |          7 |         36 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/track-remover.ts                                        | TypeScript   |         57 |          0 |         12 |         69 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/track-updater.ts                                        | TypeScript   |         30 |          0 |          8 |         38 |
| /home/raphael/Projects/dopamine/src/app/services/snack-bar/base-snack-bar.service.ts                              | TypeScript   |          4 |          0 |          1 |          5 |
| /home/raphael/Projects/dopamine/src/app/services/snack-bar/snack-bar.service.ts                                   | TypeScript   |         35 |          3 |          9 |         47 |
| /home/raphael/Projects/dopamine/src/app/services/translator/base-translator.service.ts                            | TypeScript   |          7 |          0 |          2 |          9 |
| /home/raphael/Projects/dopamine/src/app/services/translator/translator.service.ts                                 | TypeScript   |         30 |          0 |          7 |         37 |
| /home/raphael/Projects/dopamine/src/app/services/update/base-update.service.ts                                    | TypeScript   |          3 |          0 |          1 |          4 |
| /home/raphael/Projects/dopamine/src/app/services/update/github-api.ts                                             | TypeScript   |         14 |          0 |          4 |         18 |
| /home/raphael/Projects/dopamine/src/app/services/update/update.service.ts                                         | TypeScript   |         48 |          0 |          5 |         53 |
| /home/raphael/Projects/dopamine/src/app/services/update/version-comparer.ts                                       | TypeScript   |         17 |          0 |          5 |         22 |
| /home/raphael/Projects/dopamine/src/assets/i18n/en.json                                                           | JSON         |         63 |          0 |          0 |         63 |
| /home/raphael/Projects/dopamine/src/assets/i18n/fr.json                                                           | JSON         |         63 |          0 |          0 |         63 |
| /home/raphael/Projects/dopamine/src/assets/i18n/nl.json                                                           | JSON         |         63 |          0 |          0 |         63 |
| /home/raphael/Projects/dopamine/src/assets/images/headphone_256x256.svg                                           | XML          |        167 |          1 |          2 |        170 |
| /home/raphael/Projects/dopamine/src/assets/images/logo_nobg_256x256.svg                                           | XML          |        250 |          0 |          1 |        251 |
| /home/raphael/Projects/dopamine/src/css/custom-classes.scss                                                       | SCSS         |         30 |          0 |          9 |         39 |
| /home/raphael/Projects/dopamine/src/css/custom-mat-themes.scss                                                    | SCSS         |        128 |         36 |          9 |        173 |
| /home/raphael/Projects/dopamine/src/css/elements.scss                                                             | SCSS         |         46 |          0 |         11 |         57 |
| /home/raphael/Projects/dopamine/src/css/font-faces.scss                                                           | SCSS         |         13 |          0 |          2 |         15 |
| /home/raphael/Projects/dopamine/src/css/mat-dialog.scss                                                           | SCSS         |          3 |          0 |          0 |          3 |
| /home/raphael/Projects/dopamine/src/css/mat-input.scss                                                            | SCSS         |          3 |          5 |          4 |         12 |
| /home/raphael/Projects/dopamine/src/css/mat-raised-button.scss                                                    | SCSS         |          3 |          0 |          1 |          4 |
| /home/raphael/Projects/dopamine/src/css/mat-snackbar.scss                                                         | SCSS         |          8 |          0 |          3 |         11 |
| /home/raphael/Projects/dopamine/src/css/mat-tooltip.scss                                                          | SCSS         |          7 |          0 |          1 |          8 |
| /home/raphael/Projects/dopamine/src/css/scrollbar.scss                                                            | SCSS         |         15 |          0 |          3 |         18 |
| /home/raphael/Projects/dopamine/src/css/spacing.scss                                                              | SCSS         |        184 |          2 |         55 |        241 |
| /home/raphael/Projects/dopamine/src/css/theming.scss                                                              | SCSS         |         47 |          0 |          7 |         54 |
| /home/raphael/Projects/dopamine/src/css/transparent-button.scss                                                   | SCSS         |         12 |          0 |          1 |         13 |
| /home/raphael/Projects/dopamine/src/css/variables.scss                                                            | SCSS         |         12 |          4 |          2 |         18 |
| /home/raphael/Projects/dopamine/src/css/window-buttons.scss                                                       | SCSS         |         17 |          0 |          1 |         18 |
| /home/raphael/Projects/dopamine/src/css/window-frame.scss                                                         | SCSS         |         43 |          0 |          5 |         48 |
| /home/raphael/Projects/dopamine/src/environments/environment.dev.ts                                               | TypeScript   |          4 |          4 |          2 |         10 |
| /home/raphael/Projects/dopamine/src/environments/environment.prod.ts                                              | TypeScript   |          4 |          0 |          1 |          5 |
| /home/raphael/Projects/dopamine/src/environments/environment.ts                                                   | TypeScript   |          4 |          0 |          1 |          5 |
| /home/raphael/Projects/dopamine/src/index.html                                                                    | HTML         |         13 |          0 |          2 |         15 |
| /home/raphael/Projects/dopamine/src/main.ts                                                                       | TypeScript   |         12 |          0 |          4 |         16 |
| /home/raphael/Projects/dopamine/src/polyfills-test.ts                                                             | TypeScript   |          2 |          0 |          2 |          4 |
| /home/raphael/Projects/dopamine/src/polyfills.ts                                                                  | TypeScript   |          1 |         55 |          8 |         64 |
| /home/raphael/Projects/dopamine/src/spec/000-spec-template.ts                                                     | TypeScript   |          8 |          3 |          4 |         15 |
| /home/raphael/Projects/dopamine/src/spec/add-folder.component.spec.ts                                             | TypeScript   |        358 |         60 |         90 |        508 |
| /home/raphael/Projects/dopamine/src/spec/collection-checker.spec.ts                                               | TypeScript   |        106 |         15 |         31 |        152 |
| /home/raphael/Projects/dopamine/src/spec/collection-indexer.spec.ts                                               | TypeScript   |         38 |          9 |         10 |         57 |
| /home/raphael/Projects/dopamine/src/spec/color-scheme-switcher.component.spec.ts                                  | TypeScript   |         17 |          3 |          4 |         24 |
| /home/raphael/Projects/dopamine/src/spec/color-scheme.spec.ts                                                     | TypeScript   |         23 |         12 |          9 |         44 |
| /home/raphael/Projects/dopamine/src/spec/directory-walk-result.spec.ts                                            | TypeScript   |         39 |          6 |         11 |         56 |
| /home/raphael/Projects/dopamine/src/spec/directory-walker.spec.ts                                                 | TypeScript   |        173 |         12 |         57 |        242 |
| /home/raphael/Projects/dopamine/src/spec/folder.service.spec.ts                                                   | TypeScript   |         75 |         15 |         20 |        110 |
| /home/raphael/Projects/dopamine/src/spec/folder.spec.ts                                                           | TypeScript   |         11 |          3 |          3 |         17 |
| /home/raphael/Projects/dopamine/src/spec/font-size.spec.ts                                                        | TypeScript   |         19 |          9 |          7 |         35 |
| /home/raphael/Projects/dopamine/src/spec/indexable-path-fetcher.spec.ts                                           | TypeScript   |        120 |          6 |         31 |        157 |
| /home/raphael/Projects/dopamine/src/spec/indexable-path.spec.ts                                                   | TypeScript   |         19 |          9 |          7 |         35 |
| /home/raphael/Projects/dopamine/src/spec/indexing.service.spec.ts                                                 | TypeScript   |         36 |          6 |         11 |         53 |
| /home/raphael/Projects/dopamine/src/spec/loading.component.spec.ts                                                | TypeScript   |         63 |         12 |         17 |         92 |
| /home/raphael/Projects/dopamine/src/spec/logo-full.component.spec.ts                                              | TypeScript   |         11 |          2 |          3 |         16 |
| /home/raphael/Projects/dopamine/src/spec/main.component.spec.ts                                                   | TypeScript   |         32 |          6 |          9 |         47 |
| /home/raphael/Projects/dopamine/src/spec/mocking/settings-mock.ts                                                 | TypeScript   |         14 |          0 |          4 |         18 |
| /home/raphael/Projects/dopamine/src/spec/product-information.spec.ts                                              | TypeScript   |         23 |          9 |          7 |         39 |
| /home/raphael/Projects/dopamine/src/spec/step-indicator.component.spec.ts                                         | TypeScript   |         17 |          3 |          4 |         24 |
| /home/raphael/Projects/dopamine/src/spec/track-remover.spec.ts                                                    | TypeScript   |         65 |          9 |         18 |         92 |
| /home/raphael/Projects/dopamine/src/spec/track-updater.spec.ts                                                    | TypeScript   |        159 |         18 |         37 |        214 |
| /home/raphael/Projects/dopamine/src/spec/version-comparer.spec.ts                                                 | TypeScript   |         19 |          9 |          7 |         35 |
| /home/raphael/Projects/dopamine/src/spec/welcome.component.spec.ts                                                | TypeScript   |         85 |         21 |         22 |        128 |
| /home/raphael/Projects/dopamine/src/styles.scss                                                                   | SCSS         |         15 |          0 |          0 |         15 |
| /home/raphael/Projects/dopamine/src/test.ts                                                                       | TypeScript   |         13 |          4 |          4 |         21 |
| /home/raphael/Projects/dopamine/src/tsconfig.app.json                                                             | JSON         |         10 |          3 |          0 |         13 |
| /home/raphael/Projects/dopamine/src/tsconfig.spec.json                                                            | JSON         |         24 |          0 |          1 |         25 |
| /home/raphael/Projects/dopamine/src/typings.d.ts                                                                  | TypeScript   |          9 |          1 |          2 |         12 |
| /home/raphael/Projects/dopamine/tsconfig-serve.json                                                               | JSON         |         24 |          3 |          0 |         27 |
| /home/raphael/Projects/dopamine/tsconfig.json                                                                     | JSON         |         28 |          0 |          1 |         29 |
| /home/raphael/Projects/dopamine/tslint.json                                                                       | JSON         |        144 |          0 |          0 |        144 |
| Total                                                                                                             |              |     20,366 |        521 |      1,094 |     21,981 |
+-------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
